id,user_id,order_date,total_amount
62,944,2025-12-14,3.02
63,122,2025-06-15,56.07
64,1370,2025-10-22,53.43
65,2559,2025-08-01,10750.68
66,873,2025-07-17,170.20
67,2617,2025-05-19,35799.52
68,667,2025-04-02,17926.99
69,3217,2025-11-27,30614.73
70,559,2025-11-22,25.43
71,3060,2025-07-22,301.80
72,2874,2025-12-03,17940.36
73,1302,2025-07-03,54.30
74,3255,2025-11-08,57.18
75,309,2025-08-10,255.84
76,358,2024-07-04,426.30
77,2353,2025-06-06,294.99
78,1442,2025-12-21,12933.15
79,3266,2025-05-16,34.47
80,2169,2024-02-02,1886.20
81,1494,2024-12-11,6.10
82,1081,2025-06-17,186.28
83,34,2024-12-25,21.50
84,3000,2025-06-30,35012.04
85,1284,2024-12-29,164.19
86,102,2025-06-16,26313.41
87,2537,2024-03-28,116.94
88,821,2025-12-28,149.20
89,3201,2025-05-23,1781.01
90,2992,2024-11-22,143.87
91,765,2025-02-26,9.96
92,591,2025-09-20,5.94
93,408,2025-11-02,9.91
94,1615,2024-12-13,8913.23
95,2472,2025-09-02,6.70
96,2380,2025-11-28,77.16
97,2974,2025-02-11,4.39
98,517,2025-08-28,10.07
99,3393,2025-10-03,210.65
100,1899,2025-07-19,656.19
101,167,2025-11-09,4064.33
102,1731,2024-08-17,20.52
103,1340,2024-04-14,5.94
104,861,2025-11-29,55.36
105,431,2025-09-17,32.73
106,1492,2025-11-07,156.52
107,2995,2024-04-18,5.76
108,2840,2025-10-28,713.35
109,428,2025-07-04,1116.97
110,1385,2024-11-17,8.56
111,1247,2024-08-26,186.81
112,185,2025-12-14,23.39
113,2689,2025-08-18,59488.38
114,2796,2025-09-21,156.28
115,2244,2024-09-30,11.54
116,2793,2025-05-10,26929.15
117,1934,2025-09-28,9.39
118,3044,2025-11-05,197.96
119,1315,2025-11-08,84.51
120,3432,2024-12-30,311.13
121,3,2025-12-11,38281.31
122,1680,2025-10-06,3714.55
123,430,2025-12-31,2171.36
124,597,2024-06-10,23.97
125,1794,2025-02-14,36193.73
126,118,2024-11-16,129.61
127,2725,2025-08-31,26779.97
128,983,2024-11-30,10592.60
129,3295,2025-07-31,193.35
130,667,2025-12-04,59304.97
131,3413,2025-11-08,1000.19
132,2003,2025-12-30,12.93
133,2775,2025-12-19,42.93
134,3300,2024-11-18,8.57
135,2003,2025-12-24,179.09
136,1336,2024-11-25,1346.46
137,3030,2024-05-01,114.78
138,3126,2025-12-24,421.92
139,388,2024-12-20,616.52
140,1817,2025-10-25,18101.05
141,3296,2025-08-29,596.34
142,1356,2025-06-29,538.29
143,461,2025-07-24,13.65
144,3427,2025-07-22,54.39
145,736,2025-12-30,9.42
146,1027,2025-07-04,435.48
147,1052,2025-05-28,40.32
148,621,2025-08-22,349.39
149,3422,2025-01-12,59.61
150,3039,2025-06-08,3178.64
151,3367,2025-02-08,44.04
152,2431,2025-04-22,30.36
153,2429,2025-01-19,252.08
154,2842,2025-08-04,32042.35
155,2872,2025-12-10,75.82
156,839,2025-11-07,18244.30
157,3446,2025-12-18,832.54
158,196,2025-10-12,9.10
159,682,2025-02-15,146.80
160,3080,2025-11-23,21.01
161,3244,2025-06-07,531.20
162,1457,2025-07-17,40.20
163,2948,2024-04-10,25.53
164,1401,2024-07-05,77.12
165,3178,2025-08-12,22.94
166,1073,2025-12-21,1235.49
167,1916,2025-12-20,8.21
168,1363,2025-06-24,48203.52
169,1708,2025-09-21,24.48
170,2994,2025-08-06,49.86
171,327,2025-01-02,36674.80
172,3405,2025-05-24,42.47
173,372,2025-11-20,15.18
174,595,2025-07-24,315.52
175,3135,2025-01-10,20.40
176,1711,2025-07-25,40.29
177,241,2025-04-19,249.37
178,3247,2025-08-01,315.81
179,672,2025-12-18,52760.50
180,2725,2024-01-07,10.20
181,3349,2025-11-08,11.02
182,2858,2025-12-09,9.21
183,842,2025-11-24,24.39
184,2408,2025-10-31,16961.38
185,1990,2025-04-24,345.26
186,437,2025-12-17,4838.11
187,1236,2025-07-28,2018.83
188,1261,2024-09-19,59.90
189,3492,2025-09-27,5.94
190,3435,2025-05-08,150.31
191,1556,2025-09-08,21.60
192,2094,2024-11-28,115.80
193,311,2024-10-18,260.33
194,1556,2025-09-06,111.51
195,654,2024-08-09,72457.27
196,3296,2025-08-22,212.77
197,2391,2025-12-04,7.92
198,1370,2025-11-24,7981.13
199,2205,2025-09-14,17634.41
200,2026,2025-10-21,36632.69
201,953,2025-06-29,596.29
202,13,2025-05-17,45.51
203,485,2025-02-04,14.45
204,689,2025-09-02,25.57
205,269,2024-02-02,29889.43
206,1945,2025-02-27,8.67
207,1370,2024-12-08,75371.77
208,618,2024-03-23,1459.48
209,3442,2024-05-09,26.54
210,1494,2024-06-21,44.86
211,1983,2025-04-13,19.95
212,1923,2025-12-18,233.09
213,2491,2025-09-11,9711.47
214,1001,2025-06-02,35660.86
215,581,2024-09-15,62.44
216,3268,2025-01-04,482.25
217,812,2025-08-25,54.34
218,3184,2024-05-13,30797.17
219,2518,2025-11-25,24656.44
220,2111,2025-10-20,748.61
221,957,2025-12-20,300.14
222,306,2025-10-30,36316.98
223,1610,2025-12-02,7.95
224,2001,2025-08-12,20.38
225,1077,2024-02-07,70.34
226,33,2025-09-30,5.94
227,1505,2024-09-14,70610.00
228,3350,2024-10-14,61.78
229,3395,2025-04-30,32.58
230,133,2025-12-07,41.68
231,1407,2025-07-05,36635.10
232,2063,2025-11-24,75.24
233,3348,2025-03-23,1835.71
234,242,2024-05-09,17.35
235,2003,2025-08-24,16.26
236,3255,2025-04-29,244.09
237,2891,2025-02-18,1026.54
238,2573,2025-10-19,46.66
239,1559,2025-12-30,45.20
240,3175,2024-09-22,86080.98
241,1428,2025-12-22,261.25
242,3219,2024-08-10,201.69
243,726,2025-11-27,111.62
244,3246,2025-04-01,17143.59
245,1234,2024-06-06,74435.10
246,899,2025-09-22,593.88
247,1270,2025-10-13,2.89
248,1230,2024-09-05,579.60
249,692,2025-10-27,62.53
250,3160,2025-07-25,28.92
251,2483,2024-09-25,18.76
252,953,2024-06-30,150121.35
253,2353,2025-07-23,1036.46
254,2825,2024-04-27,13.61
255,873,2024-11-08,37.28
256,219,2024-10-20,20.53
257,240,2025-12-15,21.70
258,325,2024-10-01,38217.47
259,2537,2025-08-28,7.77
260,1508,2024-12-31,39.43
261,2347,2025-01-06,17700.11
262,1721,2025-07-08,96.26
263,2187,2025-10-26,64.80
264,2423,2025-02-20,314.39
265,2029,2024-12-08,145.22
266,2986,2025-09-11,366.39
267,1625,2025-01-07,40.52
268,337,2025-12-10,53.76
269,124,2025-07-17,3.03
270,1357,2025-08-27,210.97
271,2459,2024-08-16,16.00
272,1290,2024-09-17,2094.24
273,3456,2024-11-17,69249.09
274,3188,2025-10-15,10.81
275,2159,2025-07-19,550.69
276,1027,2025-02-23,304.85
277,1452,2025-11-29,10068.47
278,3396,2025-12-26,460.87
279,3014,2024-12-22,41.75
280,892,2024-03-21,66.91
281,103,2025-12-31,25.59
282,1181,2025-06-11,1252.95
283,3257,2025-12-26,12.80
284,824,2025-12-11,8.76
285,1413,2025-12-28,341.86
286,672,2025-07-27,27.10
287,1442,2025-12-11,53530.47
288,522,2025-11-11,87.82
289,3481,2025-03-31,22.30
290,1284,2024-11-17,343.89
291,496,2025-06-05,2.98
292,3473,2025-02-18,10.96
293,1537,2025-12-09,174.96
294,2273,2025-07-20,59.08
295,1601,2024-07-01,556.84
296,2343,2025-08-19,38045.69
297,3057,2025-09-05,530.77
298,580,2025-11-24,343.68
299,1131,2025-11-13,269.66
300,290,2024-12-12,57.54
301,1805,2024-10-13,108002.34
302,2068,2025-11-27,29227.93
303,921,2024-08-13,21.42
304,430,2025-03-09,25.11
305,3008,2024-09-05,41.07
306,1087,2025-06-15,35189.00
307,2418,2025-12-21,1172.55
308,2415,2025-08-29,676.09
309,1748,2025-09-14,28558.03
310,2003,2025-07-17,8402.97
311,2705,2025-12-23,32.87
312,2880,2025-06-08,53.19
313,2197,2025-07-18,8.31
314,3013,2025-11-02,131.68
315,361,2025-08-13,4421.60
316,224,2025-11-20,39060.41
317,3381,2025-10-15,356.69
318,719,2024-01-18,41.98
319,2815,2024-04-25,59884.64
320,2164,2025-02-20,7159.06
321,2592,2025-05-26,1711.49
322,17,2025-10-22,61266.54
323,2987,2025-09-22,370.04
324,655,2025-05-28,45.95
325,1192,2025-08-30,17056.25
326,2353,2025-07-09,176.16
327,1783,2025-12-22,15.92
328,1669,2025-12-01,30431.52
329,613,2025-07-05,1574.27
330,1236,2025-08-30,690.38
331,1369,2025-11-22,390.51
332,1982,2024-06-20,42.37
333,2687,2024-11-01,441.89
334,3460,2025-12-20,8969.82
335,2404,2025-03-18,157.78
336,1428,2025-12-19,215.75
337,1335,2025-08-21,25.80
338,2266,2025-12-27,9.10
339,600,2024-02-10,248.56
340,662,2025-12-12,3.12
341,1884,2025-07-22,8904.36
342,1654,2024-06-12,70.78
343,4,2025-03-03,37405.89
344,3179,2024-10-28,38042.28
345,1441,2024-02-01,85632.19
346,171,2025-08-24,4562.10
347,3244,2025-04-28,10.44
348,3215,2025-10-17,96.77
349,939,2024-11-10,530.01
350,371,2025-06-15,8523.37
351,1180,2025-09-16,59.88
352,2604,2025-07-11,35.61
353,2749,2024-11-03,27.38
354,1146,2025-11-23,5.84
355,2983,2024-11-01,49.68
356,1291,2024-03-27,37230.35
357,1269,2024-09-23,25.66
358,3105,2025-10-19,260.00
359,3188,2025-10-04,517.51
360,1861,2025-06-03,472.26
361,641,2025-07-24,25404.33
362,1556,2025-07-25,72.26
363,2427,2024-11-23,8778.69
364,2017,2025-10-30,69.97
365,429,2025-10-01,15.79
366,2950,2025-05-14,448.35
367,1073,2025-11-17,55.81
368,2243,2025-08-07,400.64
369,2050,2025-07-05,149.06
370,1165,2025-08-17,63.27
371,672,2025-04-17,20.75
372,2028,2025-12-27,86.78
373,2810,2025-12-16,453.31
374,2621,2025-12-21,283.48
375,888,2025-11-17,345.43
376,1656,2025-04-26,29.57
377,1165,2024-02-13,2.99
378,1392,2024-12-17,32.28
379,896,2025-02-14,1331.55
380,1490,2025-01-10,19.30
381,1356,2025-01-19,63.29
382,2404,2024-11-29,38523.16
383,1214,2025-02-22,36.13
384,404,2024-12-18,339.45
385,1713,2025-10-10,885.72
386,178,2025-05-22,1316.86
387,3317,2025-10-30,51.32
388,2481,2025-09-30,127599.96
389,2907,2025-12-22,115.91
390,1258,2025-06-08,25.12
391,2938,2025-05-16,34.47
392,1225,2024-07-09,288.01
393,3057,2025-12-03,116.63
394,1739,2024-10-05,40.80
395,1924,2024-03-18,636.60
396,1631,2025-07-25,17018.76
397,1043,2025-12-02,1469.02
398,200,2024-11-15,27.20
399,2322,2024-05-14,31773.05
400,1628,2025-12-24,9168.82
401,1973,2024-01-13,628.04
402,415,2025-09-20,28553.71
403,1131,2025-10-28,1621.42
404,203,2024-11-04,49323.80
405,526,2025-11-11,46.84
406,769,2024-07-06,44.62
407,1076,2024-12-03,51.39
408,1340,2024-05-14,75.21
409,1889,2025-12-20,2242.51
410,2391,2025-07-25,151.40
411,1118,2025-07-03,490.35
412,1519,2024-02-14,80.53
413,3382,2025-10-02,13.34
414,1790,2024-10-03,31790.53
415,2430,2024-11-05,17958.30
416,2618,2025-09-03,425.78
417,920,2024-01-24,17452.70
418,2391,2025-11-17,2765.32
419,1916,2025-12-26,31.88
420,812,2025-11-11,60.03
421,370,2024-07-07,17922.37
422,1107,2024-01-19,20.53
423,1152,2024-09-01,133.18
424,995,2025-06-29,146.15
425,3126,2025-11-15,63.21
426,1041,2024-01-02,14596.32
427,3358,2024-11-09,49.23
428,2466,2025-03-25,731.88
429,118,2025-05-30,10.02
430,481,2024-11-03,48.48
431,2591,2025-10-04,9.00
432,1864,2025-04-18,141.62
433,3109,2025-12-11,666.80
434,1075,2024-04-09,8.36
435,2824,2025-02-28,8.14
436,1724,2025-02-23,13.51
437,2925,2025-12-18,1110.40
438,2464,2024-09-05,431.34
439,1420,2025-09-25,2154.44
440,3409,2025-04-20,41.45
441,1099,2025-01-22,534.06
442,2835,2025-12-24,8973.58
443,861,2025-12-02,79.49
444,2062,2025-06-02,183.27
445,3061,2024-12-31,113.52
446,752,2024-07-25,363.68
447,3316,2024-08-02,9067.34
448,3135,2024-12-29,164.11
449,2248,2025-09-07,10.76
450,1523,2024-08-16,2.92
451,1855,2025-12-20,4.02
452,2518,2025-07-18,36075.70
453,485,2024-07-26,9175.99
454,25,2024-10-20,169.31
455,2316,2024-12-15,60.24
456,2371,2025-06-02,71.40
457,3007,2024-11-11,2.95
458,539,2025-05-24,225.92
459,3072,2024-11-24,46711.33
460,845,2024-11-08,115.50
461,1110,2024-04-02,61.11
462,1753,2024-11-27,68.95
463,1909,2025-05-19,8.25
464,1777,2025-06-30,1039.52
465,2879,2025-04-17,150.32
466,1642,2025-05-10,41.41
467,2664,2025-10-11,35.42
468,1862,2024-12-28,15048.77
469,1852,2024-07-09,11681.04
470,3047,2025-12-24,32.84
471,1444,2024-05-21,29515.69
472,1659,2024-02-23,68.24
473,649,2025-12-05,8.41
474,2431,2025-12-18,12310.08
475,713,2025-11-02,1718.96
476,587,2025-11-18,72.33
477,761,2025-12-29,284.71
478,285,2025-03-12,29773.06
479,765,2024-07-02,67888.93
480,99,2024-08-10,38460.14
481,680,2025-04-14,148.95
482,2606,2025-04-30,20.60
483,1920,2024-08-27,31350.05
484,3409,2024-12-16,1247.34
485,1086,2025-01-28,7.93
486,2539,2025-03-21,33.88
487,2999,2024-10-07,70591.31
488,687,2025-12-23,24.29
489,1896,2024-02-28,63.72
490,637,2025-07-02,22.02
491,1178,2024-08-04,176.73
492,768,2025-08-09,24.42
493,1475,2025-08-26,652.48
494,2752,2025-12-24,37.92
495,213,2024-05-26,9133.15
496,1346,2024-10-01,142053.63
497,289,2025-12-23,8.22
498,3357,2025-06-05,37598.37
499,3154,2025-10-31,715.34
500,609,2024-04-18,55.00
501,2982,2025-10-27,835.43
502,490,2024-08-22,42.22
503,2466,2025-11-02,65.68
504,2238,2025-08-11,8.27
505,1956,2025-07-31,687.05
506,714,2025-11-22,96.88
507,3108,2025-01-17,6.08
508,1236,2025-02-19,43.61
509,1999,2024-06-28,875.86
510,1212,2025-11-17,8446.18
511,2526,2025-06-21,28.78
512,2086,2024-08-19,21.60
513,1145,2024-10-14,254.08
514,637,2025-08-24,43.98
515,2779,2025-11-16,386.69
516,660,2025-09-01,94.47
517,2793,2025-11-11,189.98
518,1796,2025-09-24,20.90
519,634,2025-12-15,83.83
520,924,2024-01-12,121.63
521,2322,2024-04-15,77.10
522,2611,2025-07-16,56.37
523,815,2025-09-27,8881.51
524,1771,2025-11-29,290.80
525,2654,2025-10-02,112263.83
526,3316,2024-06-01,108.31
527,3131,2024-03-19,32.92
528,2087,2025-01-08,320.69
529,450,2024-05-18,14.50
530,2276,2025-01-19,761.71
531,756,2025-02-28,235.89
532,95,2025-12-19,91.19
533,2541,2024-01-31,41.20
534,595,2025-12-24,68.48
535,579,2025-12-20,391.94
536,587,2024-12-23,233.79
537,1085,2025-10-17,84.54
538,1449,2025-09-05,177.70
539,3498,2024-08-25,328.93
540,2404,2025-11-22,310.62
541,3135,2025-06-24,52081.40
542,1794,2024-12-02,3107.87
543,3183,2024-09-18,269.68
544,1073,2025-06-23,615.51
545,1465,2025-02-19,14.71
546,2204,2025-09-03,37104.37
547,674,2024-09-16,8669.29
548,2348,2025-11-04,29760.68
549,2058,2025-04-14,17422.48
550,2911,2025-11-09,521.78
551,2995,2025-12-07,119.14
552,2660,2025-12-17,305.44
553,991,2025-12-13,40.95
554,911,2025-05-15,929.80
555,1416,2024-08-26,79965.21
556,196,2024-11-17,85.39
557,3396,2025-07-13,30787.45
558,3210,2025-09-07,38266.62
559,1916,2025-12-17,8864.34
560,1302,2025-04-12,10.46
561,3077,2024-09-09,32.57
562,318,2024-05-09,28315.36
563,3422,2024-12-02,35148.30
564,1887,2025-10-29,98.04
565,2181,2025-06-13,13.38
566,1705,2025-11-17,54791.13
567,3037,2025-07-03,459.01
568,3235,2024-11-30,78.67
569,374,2025-09-05,1431.84
570,2017,2025-09-01,30.38
571,2576,2025-10-23,17422.37
572,1442,2025-11-07,283.12
573,2969,2025-12-08,1410.18
574,3382,2025-08-30,15.84
575,2883,2025-09-28,4393.06
576,368,2025-12-18,31.47
577,911,2025-10-14,318.94
578,2836,2025-04-20,62.84
579,911,2025-12-15,3.05
580,2071,2025-03-17,21.13
581,1012,2025-12-31,28.59
582,3188,2025-10-14,17.32
583,1075,2024-04-05,179.05
584,1698,2024-04-30,53.74
585,352,2025-11-29,3.02
586,1963,2024-12-17,5.94
587,2419,2024-06-11,230.57
588,1671,2025-08-05,18076.72
589,3062,2024-07-20,79.91
590,3494,2025-08-24,50321.89
591,1711,2025-12-03,35292.61
592,3287,2024-02-23,10.09
593,176,2025-08-26,4440.44
594,2062,2025-11-26,23.74
595,1276,2024-01-24,103.80
596,1297,2025-01-10,292.27
597,196,2025-08-28,59.39
598,1732,2024-12-31,87.10
599,175,2025-10-01,12.85
600,64,2025-12-20,311.18
601,1173,2025-12-03,23.95
602,2165,2025-12-08,124.93
603,1465,2025-04-03,859.66
604,3484,2025-01-09,15.52
605,1540,2024-07-05,210.05
606,1100,2025-08-03,156.32
607,2539,2024-05-06,1054.37
608,1488,2025-09-05,45680.43
609,3002,2025-12-28,1172.64
610,684,2024-01-27,19.36
611,2778,2024-05-24,34278.14
612,3246,2024-07-31,23.15
613,2432,2025-10-28,39.17
614,2339,2025-07-01,350.52
615,2904,2024-12-17,30.36
616,3276,2025-01-31,362.02
617,581,2025-05-19,534.31
618,1397,2024-11-01,24.91
619,203,2024-12-09,15321.56
620,319,2025-12-26,29968.70
621,3084,2025-01-10,3603.22
622,2988,2024-09-07,607.84
623,2806,2025-07-20,9202.83
624,2464,2025-11-30,61.71
625,2074,2025-05-12,100.84
626,1442,2025-12-16,32.40
627,1335,2024-05-13,334.59
628,843,2025-06-30,14.36
629,3246,2024-08-04,235.10
630,3319,2024-11-18,1014.57
631,1909,2025-05-09,102.47
632,745,2025-12-31,26.78
633,1877,2025-09-04,163.57
634,3033,2025-11-16,64.69
635,495,2024-04-11,13.30
636,3358,2025-02-28,82.71
637,1193,2025-07-30,2632.36
638,405,2024-12-26,155.15
639,2735,2024-11-21,300.25
640,2821,2024-12-06,91.80
641,976,2025-08-15,19015.05
642,1192,2025-04-24,11.55
643,1073,2024-02-13,49.54
644,3458,2024-09-13,862.07
645,2682,2024-02-16,164.24
646,1642,2025-12-03,6.10
647,1652,2025-06-14,126.00
648,256,2025-11-20,11.28
649,2974,2024-11-27,124.38
650,2697,2025-05-20,33.23
651,1050,2025-12-05,140.89
652,3436,2024-04-02,50.53
653,2193,2024-11-18,570.84
654,569,2025-09-11,34800.20
655,3104,2025-07-09,71326.10
656,273,2025-07-30,3.14
657,3119,2025-09-20,145.86
658,1790,2025-10-04,17149.91
659,581,2025-02-12,4.99
660,2228,2025-11-01,34.41
661,581,2025-08-03,625.69
662,103,2025-12-30,124.51
663,812,2025-08-29,51198.18
664,3202,2025-12-08,1005.36
665,3057,2025-08-17,8614.74
666,1201,2025-12-26,37900.97
667,2499,2025-12-19,55.71
668,290,2024-10-10,37415.41
669,1150,2025-11-16,206.70
670,2617,2025-08-19,58648.41
671,3414,2025-12-06,56.77
672,2551,2024-01-23,2.93
673,1753,2025-08-13,9.90
674,3244,2025-12-07,741.51
675,147,2025-12-03,32.88
676,598,2024-08-20,64.24
677,1920,2025-10-12,34.00
678,1348,2025-11-19,23.70
679,2206,2025-12-06,10.72
680,607,2025-12-24,51518.58
681,1075,2024-12-20,30050.46
682,1036,2024-07-31,107.28
683,2239,2025-10-12,66.17
684,460,2025-11-22,3.89
685,888,2024-04-30,103.87
686,1466,2025-10-29,341.26
687,600,2024-12-24,10.91
688,519,2024-04-22,7.96
689,2053,2024-12-31,30492.35
690,1527,2025-11-10,380.72
691,1187,2024-12-27,154.91
692,3271,2025-02-07,114.38
693,1817,2025-09-15,52.48
694,1027,2025-03-27,15.42
695,2540,2025-07-02,13.09
696,3316,2024-09-13,319.65
697,1592,2024-09-30,3093.93
698,1916,2025-12-11,22933.26
699,2481,2025-08-27,3.13
700,1495,2025-09-24,21.23
701,369,2024-06-06,38.69
702,3442,2025-02-15,20.09
703,3014,2024-10-11,348.29
704,827,2024-09-03,54.85
705,2109,2025-07-09,2.98
706,2725,2024-11-01,21.49
707,2566,2025-12-29,16.52
708,3200,2024-09-05,975.28
709,353,2025-12-05,54.89
710,1365,2025-09-26,841.47
711,1442,2025-11-04,123.55
712,1371,2025-08-20,35623.34
713,1416,2025-12-28,110136.18
714,583,2025-12-20,30.72
715,1916,2025-12-27,7454.83
716,2572,2025-06-12,2260.42
717,370,2024-11-26,28273.61
718,94,2025-07-27,105.61
719,18,2025-11-07,131.13
720,997,2025-04-29,172.39
721,1219,2025-02-19,1476.63
722,952,2025-11-18,4116.84
723,1424,2025-11-19,17045.66
724,430,2025-12-11,32.19
725,798,2025-12-12,350.85
726,2559,2025-05-20,48928.14
727,1392,2024-10-16,1149.04
728,2941,2024-05-01,101.01
729,3367,2024-12-08,174.26
730,3287,2024-04-12,183.52
731,439,2024-04-10,20.10
732,3205,2025-08-09,87.66
733,3209,2025-10-04,72.74
734,1938,2024-03-22,87.60
735,620,2025-10-18,28811.58
736,3247,2025-06-30,79.05
737,1192,2025-07-20,60184.72
738,247,2025-11-04,1294.64
739,2000,2025-10-21,16.93
740,2571,2025-12-23,106511.97
741,1262,2025-01-15,23.10
742,3248,2025-01-22,1301.53
743,2386,2024-04-12,36.74
744,2338,2024-10-26,18075.77
745,1844,2025-12-09,42.80
746,974,2025-12-26,28489.20
747,900,2025-12-19,144.34
748,29,2025-08-13,149.25
749,886,2024-11-09,861.74
750,1945,2025-04-10,568.65
751,98,2025-03-04,22.29
752,915,2024-01-15,13.29
753,1301,2025-10-24,12165.29
754,1259,2024-12-20,53.10
755,171,2025-05-29,70.91
756,519,2024-08-13,11.25
757,977,2024-07-21,83.25
758,2535,2025-09-30,2088.36
759,1006,2025-07-23,12.33
760,2810,2025-12-18,89.98
761,1878,2024-05-22,121.53
762,1510,2025-09-22,3.13
763,2115,2024-08-16,345.72
764,450,2025-12-01,12.58
765,3469,2024-05-27,119.32
766,886,2025-01-20,17849.78
767,674,2025-08-18,22.62
768,243,2025-12-29,118360.12
769,3239,2025-06-18,16.48
770,2762,2024-09-14,88.84
771,2301,2025-03-04,3571.72
772,2301,2025-05-03,287.95
773,1675,2025-07-14,34.11
774,2420,2024-05-06,5282.69
775,1441,2025-05-24,2.88
776,107,2025-12-09,69.37
777,1521,2025-11-15,435.02
778,395,2025-07-18,42398.74
779,2365,2024-12-27,238.98
780,2849,2025-05-14,54.87
781,911,2025-05-23,328.59
782,1990,2024-11-30,847.71
783,2162,2024-09-20,3.79
784,1519,2025-11-03,9.76
785,1614,2025-11-29,9021.85
786,202,2025-09-05,32.21
787,534,2025-10-30,86790.55
788,3255,2025-08-28,620.86
789,258,2024-06-04,29302.72
790,3004,2025-11-12,1043.02
791,1029,2025-12-23,2790.45
792,947,2025-12-04,16793.42
793,2323,2024-01-01,29851.81
794,2667,2025-04-13,238.12
795,288,2024-07-14,324.51
796,165,2025-12-03,116.40
797,2334,2025-02-13,5.01
798,1470,2024-04-25,29.20
799,589,2024-07-11,13.86
800,1876,2025-01-18,14.94
801,1531,2024-06-02,119.00
802,2091,2025-11-27,5.15
803,2740,2025-07-12,41.89
804,1474,2025-07-15,29222.62
805,821,2024-11-20,8.15
806,3107,2025-03-12,24.10
807,3235,2025-07-26,268.56
808,2630,2025-10-14,103.21
809,3206,2025-04-18,155.54
810,3002,2025-12-23,1704.43
811,159,2025-01-21,40.05
812,2510,2024-06-04,143.79
813,2974,2025-08-20,115.08
814,1263,2024-10-18,150.95
815,2268,2024-12-14,233.91
816,947,2025-12-10,37504.27
817,1255,2025-12-15,42.12
818,2898,2025-07-05,4238.13
819,2334,2025-09-25,34.78
820,154,2024-12-11,395.19
821,1957,2024-12-12,9029.44
822,1454,2025-10-19,29635.95
823,1933,2025-10-17,169.80
824,178,2025-06-23,4436.68
825,1551,2025-11-12,341.52
826,1224,2025-12-29,57790.06
827,334,2024-12-30,437.20
828,1103,2025-08-19,66.08
829,1477,2025-04-03,37.67
830,1498,2025-12-27,27.69
831,1397,2025-08-29,149.72
832,2282,2025-07-10,619.24
833,2050,2024-11-21,26.54
834,572,2025-12-04,61.62
835,2611,2025-05-15,37281.19
836,3373,2025-08-09,12.04
837,154,2025-10-23,30.37
838,2472,2024-07-04,35730.36
839,2731,2025-08-26,8.38
840,242,2025-06-03,17878.54
841,559,2024-07-04,24.31
842,80,2024-12-07,38101.37
843,1038,2025-09-04,644.83
844,926,2025-01-24,303.98
845,1017,2025-11-05,621.39
846,1966,2025-07-12,3006.66
847,1611,2025-01-08,146.71
848,2728,2025-12-10,19777.95
849,3075,2024-08-01,264.53
850,31,2025-11-25,56.19
851,178,2025-04-23,17017.62
852,1190,2024-12-25,5.74
853,3477,2025-07-29,40.72
854,2105,2025-11-17,897.40
855,613,2025-01-01,17782.03
856,424,2024-02-22,16903.68
857,2229,2024-09-06,1840.78
858,1218,2025-01-01,37444.08
859,906,2024-09-13,17345.64
860,3412,2025-11-03,29.73
861,863,2025-11-19,25.05
862,1192,2025-03-14,337.48
863,3244,2025-09-05,28.47
864,3247,2025-12-07,23.58
865,2311,2025-05-07,72.69
866,880,2025-02-08,111.43
867,1050,2025-11-03,15.69
868,2164,2025-12-03,55.79
869,2277,2025-11-18,44.52
870,2136,2024-12-13,56.36
871,899,2024-11-25,8994.28
872,1716,2024-12-20,43.91
873,2293,2025-12-27,29123.19
